state,fiscal_year,value,agency,bureau,program
District of Columbia,2016,200816,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Florida,2016,878547,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Georgia,2016,508669,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Hawaii,2016,120946,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Idaho,2016,39589,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Illinois,2016,926672,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Indiana,2016,209448,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Iowa,2016,97702,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Kansas,2016,65279,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Kentucky,2016,203933,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Louisiana,2016,357712,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Maine,2016,85397,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Maryland,2016,550772,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Massachusetts,2016,979548,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Michigan,2016,362649,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Minnesota,2016,237106,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Mississippi,2016,156908,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Missouri,2016,243143,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Montana,2016,32344,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Nebraska,2016,68456,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Nevada,2016,141749,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
New Hampshire,2016,84289,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
New Jersey,2016,740745,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
New Mexico,2016,75625,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
New York,2016,2480014,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
North Carolina,2016,370210,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
North Dakota,2016,36194,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Ohio,2016,561927,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Oklahoma,2016,135796,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Oregon,2016,245500,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Pennsylvania,2016,609804,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Rhode Island,2016,84113,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
South Carolina,2016,157024,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
South Dakota,2016,30457,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Tennessee,2016,224524,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Texas,2016,1045058,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Utah,2016,75540,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Vermont,2016,53056,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Virginia,2016,402768,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Washington,2016,509706,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
West Virginia,2016,74190,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Wisconsin,2016,154318,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Wyoming,2016,14088,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Alabama,2017,192801,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Alaska,2017,41656,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Arizona,2017,171298,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Arkansas,2017,97410,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
California,2017,3519097,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Colorado,2017,256307,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Connecticut,2017,399962,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Delaware,2017,40322,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
District of Columbia,2017,199295,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Florida,2017,871895,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Georgia,2017,504817,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Hawaii,2017,120030,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Idaho,2017,39289,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Illinois,2017,919656,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Indiana,2017,207862,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Iowa,2017,96962,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Kansas,2017,64785,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Kentucky,2017,202389,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Louisiana,2017,355003,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Maine,2017,84750,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
